N,Algorithm,P(True) mean,P(True) std,Runs,Time(s) mean,Time(s) std
1000,Gibbs,0.8046333333333333,0.20028832378268624,30,2.42915,0.04675063525292179
1000,Likelihood,0.8517133333333333,0.02815460681766788,30,3.239523333333333,0.04171167605767275
1000,Rejection,0.8488033333333332,0.038695286029690266,30,3.2356933333333333,0.03414608508214045
5000,Gibbs,0.8706999999999999,0.07245676475402896,30,12.110913333333334,0.1241457200876932
5000,Likelihood,0.8529800000000001,0.01085656959855534,30,16.138286666666666,0.11939649891861472
5000,Rejection,0.8509166666666667,0.014715604744233472,30,16.16822,0.1751470011162061
10000,Gibbs,0.8498966666666666,0.06164350503210925,30,24.236956666666668,0.1851673961830082
10000,Likelihood,0.8542433333333334,0.0106246844442661,30,32.286633333333334,0.23608556066397474
10000,Rejection,0.8504833333333334,0.008493246133549718,30,32.291333333333334,0.2129722943505097
20000,Gibbs,0.8500366666666667,0.03920652200611644,30,48.43987666666667,0.39555535615335713
20000,Likelihood,0.8528866666666667,0.005833833147717056,30,64.6545,0.47748642371023203
20000,Rejection,0.8522,0.008884430395263166,30,64.64359,0.5085631852039926
