N,Algorithm,P(True) mean,P(True) std,Runs,Time(s) mean,Time(s) std
1000,Gibbs,0.3653,0.22060217743634167,30,2.619406666666667,0.03841479540160433
1000,Likelihood,0.319,0.04046575393316317,30,3.2678166666666666,0.02286755091953385
1000,Rejection,0.3216,0.055789474968325155,30,3.270143333333333,0.020564275741722732
5000,Gibbs,0.32078666666666666,0.10825866767347908,30,13.156246666666668,0.13910288609349572
5000,Likelihood,0.3149166666666667,0.018087547313444457,30,16.36179,0.14105600587392045
5000,Rejection,0.3247033333333333,0.02083184702744124,30,16.35206,0.09384783942913691
10000,Gibbs,0.32621333333333336,0.07993947164221679,30,26.265383333333332,0.20502965989529856
10000,Likelihood,0.31595,0.013044056646346764,30,32.654086666666664,0.2398689005921033
10000,Rejection,0.3203166666666667,0.01717857694185192,30,32.68792,0.20525157717064094
20000,Gibbs,0.32898,0.05555599474155907,30,52.55057,0.32305513477338516
20000,Likelihood,0.3167,0.010087616170334783,30,65.45279666666667,0.39652996276172553
20000,Rejection,0.3159,0.010926147063588904,30,65.37067333333333,0.4379993299737681
