N,Algorithm,P(True) mean,P(True) std,Runs,Time(s) mean,Time(s) std
1000,Gibbs,0.8349,0.11967581209250264,30,2.9452166666666666,0.03606978947323753
1000,Likelihood,0.8156633333333333,0.01569518888140531,30,3.281703333333333,0.03310880165645443
1000,Rejection,0.8177866666666667,0.08561778631413765,30,3.28048,0.0295294289212269
5000,Gibbs,0.8138466666666667,0.04759596283468714,30,14.750346666666667,0.10353868420275002
5000,Likelihood,0.8147133333333334,0.00872352085410209,30,16.389979999999998,0.10828014241484661
5000,Rejection,0.8119133333333333,0.027745415692579267,30,16.369899999999998,0.10459755716801948
10000,Gibbs,0.8235399999999999,0.03367434918604141,30,29.50730666666667,0.21528772717288083
10000,Likelihood,0.8168233333333333,0.004357528826211491,30,32.78206,0.19716312273221137
10000,Rejection,0.8094133333333333,0.024512850019774414,30,32.77220333333334,0.16437943382421266
20000,Gibbs,0.8205666666666667,0.02729627148131428,30,58.87654,0.4292337845429985
20000,Likelihood,0.8149700000000001,0.0036064262566740065,30,65.59460666666666,0.41683220136159554
20000,Rejection,0.8191433333333333,0.018115847193554874,30,65.65880666666666,0.3833907657526038
